id,title,year,area,priority,tags,status,pdf,text,card,source,pages,bytes,sha256
deng-2022-reversedistillation,Anomaly Detection via Reverse Distillation from One-Class Embedding,2022,Industrial AD baseline,background,anomaly-detection;industrial-ad;industrial-ad-baseline,unread,PDFs/Deng_2022_ReverseDistillation.pdf,text/deng-2022-reversedistillation.txt,cards/deng-2022-reversedistillation.md,https://arxiv.org/pdf/2201.10703,10,5889718,fae710735be6abc8615d5ffc1105951d1b93e1a17eb3f6f9db981f867fb42952
desai-2023-meru,MERU: Multimodal Poincare Embeddings for Text-Image Representation,2023,Hyperbolic VLM,supporting,hyperbolic;hyperbolic-vlm,unread,PDFs/Desai_2023_MERU.pdf,text/desai-2023-meru.txt,cards/desai-2023-meru.md,https://arxiv.org/pdf/2304.09172,38,5507410,6eac4c8889b3888e3c6edfe11b44824b489dc3e0c0c0ec515c6db11b475ef493
ganea-2018-hyperbolicentailmentcones,Hyperbolic Entailment Cones for Learning Hierarchical Embeddings,2018,Hyperbolic,method,entailment;hyperbolic,unread,PDFs/Ganea_2018_HyperbolicEntailmentCones.pdf,text/ganea-2018-hyperbolicentailmentcones.txt,cards/ganea-2018-hyperbolicentailmentcones.md,https://arxiv.org/pdf/1804.01882,13,1715223,529c8b1a340ca83174409fa5162d3415af6e7b25d161b47348eef08801da3659
ganea-2018-hyperbolicneuralnetworks,Hyperbolic Neural Networks,2018,Hyperbolic,supporting,hyperbolic,unread,PDFs/Ganea_2018_HyperbolicNeuralNetworks.pdf,text/ganea-2018-hyperbolicneuralnetworks.txt,cards/ganea-2018-hyperbolicneuralnetworks.md,https://arxiv.org/pdf/1805.09112,21,1559654,81d59dbf1be07747409ec4b254092d7558f2f86d10c1e9aa8c0a9e0e71257ce9
gao-2025-metauas,MetaUAS: Universal Anomaly Segmentation with One-Prompt Meta-Learning,2025,LVLM / SAM anomaly,background,anomaly-detection;lvlm-sam-anomaly;prompt-learning,unread,PDFs/Gao_2025_MetaUAS.pdf,text/gao-2025-metauas.txt,cards/gao-2025-metauas.md,https://arxiv.org/pdf/2505.09265,18,25882945,6b0f70a7e94fca0fac7fe856175a7bd4df01b5b21e7bff84c1fd7f5a3c65e8e1
gu-2023-anomalygpt,AnomalyGPT: Detecting Industrial Anomalies Using Large Vision-Language Models,2023,LVLM / SAM anomaly,background,anomaly-detection;industrial-ad;lvlm;lvlm-sam-anomaly;vlm,unread,PDFs/Gu_2023_AnomalyGPT.pdf,text/gu-2023-anomalygpt.txt,cards/gu-2023-anomalygpt.md,https://arxiv.org/pdf/2308.15366,19,14894050,f05615c13f01c8bd38cb1718e2a7000530402923984b2a2137ee9fbc275e7341
gu-2024-filo,FiLo: Zero-Shot Anomaly Detection by Fine-Grained Description and High-Quality Localization,2024,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;zero-shot;zsad,unread,PDFs/Gu_2024_FiLo.pdf,text/gu-2024-filo.txt,cards/gu-2024-filo.md,https://arxiv.org/pdf/2404.13671,21,5029089,4febc607368ff37f481a455d707bfabfdb0cd0c9846f8f4fb6cb36c386fe44ac
hadnet-2025-scientificreports,HADNet: Hyperbolic Geometry Enhanced Feature Filtering Network for Industrial Anomaly Detection,2025,Hyperbolic,core,anomaly-detection;hyperbolic;industrial-ad,unread,PDFs/HADNet_2025_ScientificReports.pdf,text/hadnet-2025-scientificreports.txt,cards/hadnet-2025-scientificreports.md,https://www.nature.com/articles/s41598-025-07550-0.pdf,15,2831292,f28b9d22178ab4f548740dba9413fe7b9167443e7b9884c314ab557fe5f12234
jeong-2023-winclip,WinCLIP: Zero-/Few-Shot Anomaly Classification and Segmentation,2023,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;zero-shot;zsad,unread,PDFs/Jeong_2023_WinCLIP.pdf,text/jeong-2023-winclip.txt,cards/jeong-2023-winclip.md,https://arxiv.org/pdf/2303.14814,21,22852859,7c8b42bc0a3c5c22fef0550686b8a63be2cd1bb9a9b9c77b3f9184260f4b9d34
li-2024-hypad,Hyperbolic Anomaly Detection,2024,Hyperbolic,core,anomaly-detection;hyperbolic,unread,PDFs/Li_2024_HypAD.pdf,text/li-2024-hypad.txt,cards/li-2024-hypad.md,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Hyperbolic_Anomaly_Detection_CVPR_2024_paper.pdf,10,2788645,fbd7271101fe9077a822ce5a33b2798a874674d8643dd574ff7001152c7ece10
li-2024-promptad,PromptAD: Learning Prompts with only Normal Samples for Few-Shot Anomaly Detection,2024,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;prompt-learning;zsad,unread,PDFs/Li_2024_PromptAD.pdf,text/li-2024-promptad.txt,cards/li-2024-promptad.md,https://arxiv.org/pdf/2404.05231,18,7395118,af0ad4718355f63a6637a1086c45b3bf697ca03669ddab14b49874a0b82f3f74
liu-2018-multilevelwaveletcnn,Multi-Level Wavelet-CNN for Image Restoration,2018,Wavelet / frequency,supporting,frequency;wavelet-frequency,unread,PDFs/Liu_2018_MultiLevelWaveletCNN.pdf,text/liu-2018-multilevelwaveletcnn.txt,cards/liu-2018-multilevelwaveletcnn.md,https://openaccess.thecvf.com/content_cvpr_2018_workshops/papers/w13/Liu_Multi-Level_Wavelet-CNN_for_CVPR_2018_paper.pdf,10,2852414,f4885db89db5e6ed9e880fcf1110c6c212e0dfa3e30a5e6663c159699ada7918
long-2020-searchingactionshyperbole,Searching for Actions on the Hyperbole,2020,Hyperbolic,supporting,hyperbolic,unread,PDFs/Long_2020_SearchingActionsHyperbole.pdf,text/long-2020-searchingactionshyperbole.txt,cards/long-2020-searchingactionshyperbole.md,https://openaccess.thecvf.com/content_CVPR_2020/papers/Long_Searching_for_Actions_on_the_Hyperbole_CVPR_2020_paper.pdf,10,1491933,57e678ab3c6b68e9f459375f3bdc9bc99454f6e26da680f2273bcda02e56170d
ma-2025-aa-clip,AA-CLIP: Enhancing Zero-shot Anomaly Detection via Anomaly-Aware CLIP,2025,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;zero-shot;zsad,unread,PDFs/Ma_2025_AA-CLIP.pdf,text/ma-2025-aa-clip.txt,cards/ma-2025-aa-clip.md,https://arxiv.org/pdf/2503.06661,11,21572952,f8e29127a8cf054624d9f70289748d8997d12112ae5e903ff90a9fa08ef82b93
mallat-2012-groupinvariantscattering,Group Invariant Scattering,2012,Wavelet / frequency,supporting,frequency;wavelet-frequency,unread,PDFs/Mallat_2012_GroupInvariantScattering.pdf,text/mallat-2012-groupinvariantscattering.txt,cards/mallat-2012-groupinvariantscattering.md,https://arxiv.org/pdf/1101.2286,79,963298,2c954a5f1308dccfa0e63248d244b3ee9f5662751421a5b3904d117a598c7906
nickel-2017-poincareembeddings,Poincare Embeddings for Learning Hierarchical Representations,2017,Hyperbolic,method,hyperbolic,unread,PDFs/Nickel_2017_PoincareEmbeddings.pdf,text/nickel-2017-poincareembeddings.txt,cards/nickel-2017-poincareembeddings.md,https://arxiv.org/pdf/1705.08039,10,1389017,95eb49de8a50f0591f7de4e5261a6a596178bda0c76d481f99e0651b91d29020
niu-2023-sar,Towards Stable Test-Time Adaptation in Dynamic Wild World,2023,TTA,background,tta,unread,PDFs/Niu_2023_SAR.pdf,text/niu-2023-sar.txt,cards/niu-2023-sar.md,https://arxiv.org/pdf/2302.12447,17,639758,2954ebe4c1d5a6610c96d8f97c2790c01c0da3349ac46b0fe92c3edfd27dd35a
peyre-2019-computationaloptimaltransport,Computational Optimal Transport,2019,OT / UOT,method,optimal-transport;ot-uot,unread,PDFs/Peyre_2019_ComputationalOptimalTransport.pdf,text/peyre-2019-computationaloptimaltransport.txt,cards/peyre-2019-computationaloptimaltransport.md,https://arxiv.org/pdf/1803.00567,209,42429657,5292a1fc53631ac28fdbcccecc060de8e072b3008fb8d36c22d963a8f6a06bac
poudineh-2026-devprompt,DevPrompt: Deviation-Based Prompt Learning for One-Normal Shot Image Anomaly Detection,2026,CLIP / ZSAD,supporting,anomaly-detection;clip;clip-zsad;prompt-learning;zsad,unread,PDFs/Poudineh_2026_DevPrompt.pdf,text/poudineh-2026-devprompt.txt,cards/poudineh-2026-devprompt.md,https://arxiv.org/pdf/2601.15453,9,806112,8c49b6f649679d573508893050ddabf51dad1d9160c5ef2a3511c5c2d0f1bcba
qin-2021-fcanet,FcaNet: Frequency Channel Attention Networks,2021,Wavelet / frequency,supporting,frequency;tta;wavelet-frequency,unread,PDFs/Qin_2021_FcaNet.pdf,text/qin-2021-fcanet.txt,cards/qin-2021-fcanet.md,https://arxiv.org/pdf/2012.11879,10,431451,4fa7d59499e95d4ca85b7af63ce3dd43e50325e0b26212e913b56676207ffbf5
qiu-2026-freqanchorad,FreqAnchorAD: Language-Free Zero-Shot Anomaly Detection via Frequency-Deviation Anchoring,2026,Frequency / ZSAD,core,anomaly-detection;frequency;frequency-zsad;zero-shot;zsad,unread,PDFs/Qiu_2026_FreqAnchorAD.pdf,text/qiu-2026-freqanchorad.txt,cards/qiu-2026-freqanchorad.md,https://arxiv.org/pdf/2608.00695,9,3810236,5d5e40297b6613bb775a0fad8995ad24ac3eac5fcfb12ed1b28a4bd35cd75302
qu-2024-vcp-clip,VCP-CLIP: A Visual Context Prompting Model for Zero-Shot Anomaly Segmentation,2024,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;prompt-learning;zero-shot;zsad,unread,PDFs/Qu_2024_VCP-CLIP.pdf,text/qu-2024-vcp-clip.txt,cards/qu-2024-vcp-clip.md,https://arxiv.org/pdf/2407.12276,36,23241534,f1f241bc9e57119ef07bc443366854aa808d416b97eb38b7258e196e8c55bc98
radford-2021-clip,Learning Transferable Visual Models From Natural Language Supervision,2021,CLIP / ZSAD,supporting,clip;clip-zsad;zsad,unread,PDFs/Radford_2021_CLIP.pdf,text/radford-2021-clip.txt,cards/radford-2021-clip.md,https://arxiv.org/pdf/2103.00020,48,6813639,6478b6e571a7d6fcd846d8ef77bfd60c285f1986abb8f475eedc43de403074f5
ramasinghe-2024-acceptmodalitygaphyperbolic,Accept the Modality Gap: An Exploration in the Hyperbolic Space,2024,Hyperbolic VLM,supporting,hyperbolic;hyperbolic-vlm,unread,PDFs/Ramasinghe_2024_AcceptModalityGapHyperbolic.pdf,text/ramasinghe-2024-acceptmodalitygaphyperbolic.txt,cards/ramasinghe-2024-acceptmodalitygaphyperbolic.md,https://openaccess.thecvf.com/content/CVPR2024/papers/Ramasinghe_Accept_the_Modality_Gap_An_Exploration_in_the_Hyperbolic_Space_CVPR_2024_paper.pdf,10,1293383,c76ea0a1199044c5272c10720b20685e750f207997a13e02fcd2c481dc52d346
roth-2022-patchcore,Towards Total Recall in Industrial Anomaly Detection,2022,Industrial AD baseline,background,anomaly-detection;industrial-ad;industrial-ad-baseline,unread,PDFs/Roth_2022_PatchCore.pdf,text/roth-2022-patchcore.txt,cards/roth-2022-patchcore.md,https://arxiv.org/pdf/2106.08265,18,15850530,371ef2388859aa2a102442c37f55cc6f4a87350ae83036b3174ea0726c3ccddd
shu-2022-tpt,Test-Time Prompt Tuning for Zero-Shot Generalization in Vision-Language Models,2022,TTA / VLM,method,prompt-learning;tta;tta-vlm;vlm;zero-shot;zsad,unread,PDFs/Shu_2022_TPT.pdf,text/shu-2022-tpt.txt,cards/shu-2022-tpt.md,https://arxiv.org/pdf/2209.07511,20,1673797,979895ca50cabd1b55fa86e82f47510cd045b4cd9b741e58e480387a2adff6dd
wang-2021-tent,Tent: Fully Test-Time Adaptation by Entropy Minimization,2021,TTA,method,tta,unread,PDFs/Wang_2021_TENT.pdf,text/wang-2021-tent.txt,cards/wang-2021-tent.md,https://arxiv.org/pdf/2006.10726,15,6448675,215223e9885dd7208cad9dbff2cf315f1cc96554fedc4660d0d2c4932364e5f7
wang-2022-cotta,Continual Test-Time Domain Adaptation,2022,TTA,background,domain-adaptation;tta,unread,PDFs/Wang_2022_CoTTA.pdf,text/wang-2022-cotta.txt,cards/wang-2022-cotta.md,https://arxiv.org/pdf/2203.13591,11,730640,1ea9b03876b9db4df6575dccefc1c6032da4165ad0a00ea5bbf3176fc5adc50e
wang-2024-real-iad,Real-IAD: A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,2024,Dataset / benchmark,background,anomaly-detection;dataset-benchmark;industrial-ad,unread,PDFs/Wang_2024_Real-IAD.pdf,text/wang-2024-real-iad.txt,cards/wang-2024-real-iad.md,https://arxiv.org/pdf/2403.12580,18,14888342,aed295f438358cd9c4a091ed14f1f037854c68bee0648ba4bdbdbfac9a987958
yao-2024-adaclip,AdaCLIP: Adapting CLIP with Hybrid Learnable Prompts for Zero-Shot Anomaly Detection,2024,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;prompt-learning;zero-shot;zsad,unread,PDFs/Yao_2024_AdaCLIP.pdf,text/yao-2024-adaclip.txt,cards/yao-2024-adaclip.md,https://arxiv.org/pdf/2407.15795,41,20439732,07d2d55154ddc8df4cc14fc2461ddda5a7124cc92416954bb737cc9f0a4fbe3e
you-2022-uniad,A Unified Model for Multi-class Anomaly Detection,2022,Industrial AD baseline,background,anomaly-detection;industrial-ad;industrial-ad-baseline,unread,PDFs/You_2022_UniAD.pdf,text/you-2022-uniad.txt,cards/you-2022-uniad.md,https://arxiv.org/pdf/2206.03687,19,5780629,ecb5b3ade08e75f65d37759203a03062da30023e7d91f15061e763c7256733d3
zavrtanik-2021-draem,DRAEM: A Discriminatively Trained Reconstruction Embedding for Surface Anomaly Detection,2021,Industrial AD baseline,background,anomaly-detection;industrial-ad;industrial-ad-baseline,unread,PDFs/Zavrtanik_2021_DRAEM.pdf,text/zavrtanik-2021-draem.txt,cards/zavrtanik-2021-draem.md,https://arxiv.org/pdf/2108.07610,10,21228840,6836e5fdf46f3aa8f2f4dc2d016170b14d627c751eb9d38d72fda71d7526cbc2
zhang-2022-memo,MEMO: Test Time Robustness via Adaptation and Augmentation,2022,TTA,background,tta,unread,PDFs/Zhang_2022_MEMO.pdf,text/zhang-2022-memo.txt,cards/zhang-2022-memo.md,https://arxiv.org/pdf/2110.09506,17,2208864,a3a238dbe414fa40ec19e444b24af34853565d88173539017cd2a15fef88fbe6
zhou-2022-cocoop,Conditional Prompt Learning for Vision-Language Models,2022,Prompt / VLM support,background,prompt-learning;prompt-vlm-support;vlm,unread,PDFs/Zhou_2022_CoCoOp.pdf,text/zhou-2022-cocoop.txt,cards/zhou-2022-cocoop.md,https://arxiv.org/pdf/2203.05557,11,2572215,b44b2280253b1bf79b1d1060fd6cb8f30b1e513a7e3631a2838004a1c152076f
zhou-2022-coop,Learning to Prompt for Vision-Language Models,2022,Prompt / VLM support,background,prompt-learning;prompt-vlm-support;vlm,unread,PDFs/Zhou_2022_CoOp.pdf,text/zhou-2022-coop.txt,cards/zhou-2022-coop.md,https://arxiv.org/pdf/2109.01134,13,1465481,12970ca0d5d19aef15bcdd327a7af279c74ed07d4b924e44e6c01640c3dcb05c
zhou-2024-anomalyclip,AnomalyCLIP: Object-agnostic Prompt Learning for Zero-shot Anomaly Detection,2024,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;prompt-learning;zero-shot;zsad,unread,PDFs/Zhou_2024_AnomalyCLIP.pdf,text/zhou-2024-anomalyclip.txt,cards/zhou-2024-anomalyclip.md,https://arxiv.org/pdf/2310.18961,31,43655054,866380d391bd39c304153aa19ac8520aba412d5615c74a9d542170f7c4c8a7b4
