class,defect_type,metric,n,p_value,spearman_rho_vs_severity,variant
capsule,cutout,score_energy_region_gap,80,2.3099328634610416e-09,0.6074443681009419,cone_normal_only
capsule,cutout,mask_mean,80,3.0509333980514806e-10,0.6327067047705464,cone_contrastive
capsule,cutout,region_gap,80,8.157373219698244e-11,0.6480172118430338,cone_contrastive
capsule,cutout,pixel_auc,80,1.6102745569299859e-12,0.688972818261938,cone_contrastive
capsule,cutout,normal_energy_region_gap,80,2.3099328634610416e-09,0.6074443681009419,cone_contrastive
capsule,cutout,energy_gap_region_gap,80,8.157373219698244e-11,0.6480172118430338,cone_contrastive
capsule,cutout,score_energy_region_gap,80,8.157373219698244e-11,0.6480172118430338,cone_contrastive
capsule,scratch,mask_mean,80,3.5450157913983494e-07,0.5331884087993776,cosine
capsule,scratch,region_gap,80,2.9488052555200174e-07,0.536250510213875,cosine
capsule,scratch,pixel_auc,80,3.2199775902620624e-05,0.4470668065166354,cosine
capsule,scratch,normal_energy_region_gap,0,nan,nan,cosine
capsule,scratch,energy_gap_region_gap,0,nan,nan,cosine
capsule,scratch,score_energy_region_gap,0,nan,nan,cosine
capsule,scratch,mask_mean,80,1.7603422924958735e-07,0.5446712891037432,cone_normal_only
capsule,scratch,region_gap,80,1.8902118204679802e-07,0.5435230010733066,cone_normal_only
capsule,scratch,pixel_auc,80,3.464693212287268e-07,0.5335711714761897,cone_normal_only
capsule,scratch,normal_energy_region_gap,80,1.7603422924958735e-07,0.5446712891037432,cone_normal_only
capsule,scratch,energy_gap_region_gap,0,nan,nan,cone_normal_only
capsule,scratch,score_energy_region_gap,80,1.7603422924958735e-07,0.5446712891037432,cone_normal_only
capsule,scratch,mask_mean,80,1.1420151501637753e-07,0.5515610172863626,cone_contrastive
capsule,scratch,region_gap,80,2.1776731805704667e-07,0.5412264250124335,cone_contrastive
capsule,scratch,pixel_auc,80,2.0732778011964485e-06,0.5021846319775903,cone_contrastive
capsule,scratch,normal_energy_region_gap,80,1.7603422924958735e-07,0.5446712891037432,cone_contrastive
capsule,scratch,energy_gap_region_gap,80,2.1776731805704667e-07,0.5412264250124335,cone_contrastive
capsule,scratch,score_energy_region_gap,80,2.1776731805704667e-07,0.5412264250124335,cone_contrastive
pill,noise_patch,mask_mean,80,4.968082869536421e-16,0.7563390493808829,cosine
pill,noise_patch,region_gap,80,5.239547290126279e-16,0.7559562867040708,cosine
pill,noise_patch,pixel_auc,80,6.071599153696609e-21,0.8240880431766403,cosine
pill,noise_patch,normal_energy_region_gap,0,nan,nan,cosine
pill,noise_patch,energy_gap_region_gap,0,nan,nan,cosine
pill,noise_patch,score_energy_region_gap,0,nan,nan,cosine
pill,noise_patch,mask_mean,80,1.5689601065839665e-25,0.8688712763636662,cone_normal_only
pill,noise_patch,region_gap,80,1.241299984240945e-26,0.8776748179303465,cone_normal_only
pill,noise_patch,pixel_auc,80,9.105853467825913e-29,0.892985325002834,cone_normal_only
pill,noise_patch,normal_energy_region_gap,80,1.241299984240945e-26,0.8776748179303465,cone_normal_only
pill,noise_patch,energy_gap_region_gap,0,nan,nan,cone_normal_only
pill,noise_patch,score_energy_region_gap,80,1.241299984240945e-26,0.8776748179303465,cone_normal_only
pill,noise_patch,mask_mean,80,1.8337156296917795e-22,0.8405468382795642,cone_contrastive
pill,noise_patch,region_gap,80,1.8121503698889455e-23,0.8504986678766812,cone_contrastive
pill,noise_patch,pixel_auc,80,3.065273522883597e-26,0.874612716515849,cone_contrastive
pill,noise_patch,normal_energy_region_gap,80,1.241299984240945e-26,0.8776748179303465,cone_contrastive
pill,noise_patch,energy_gap_region_gap,80,1.8121503698889455e-23,0.8504986678766812,cone_contrastive
pill,noise_patch,score_energy_region_gap,80,1.8121503698889455e-23,0.8504986678766812,cone_contrastive
pill,color_shift,mask_mean,80,2.5168663650753527e-05,0.45242548399200594,cosine
pill,color_shift,region_gap,80,3.055459096427697e-05,0.44821509454707187,cosine
pill,color_shift,pixel_auc,80,8.72429789529915e-08,0.5557714067312965,cosine
pill,color_shift,normal_energy_region_gap,0,nan,nan,cosine
pill,color_shift,energy_gap_region_gap,0,nan,nan,cosine
pill,color_shift,score_energy_region_gap,0,nan,nan,cosine
pill,color_shift,mask_mean,80,8.72429789529915e-08,0.5557714067312965,cone_normal_only
pill,color_shift,region_gap,80,6.80785533925532e-08,0.5595990334994185,cone_normal_only
pill,color_shift,pixel_auc,80,2.3814569044686762e-08,0.5752923032487183,cone_normal_only
pill,color_shift,normal_energy_region_gap,80,6.97980678346372e-08,0.5592162708226064,cone_normal_only
pill,color_shift,energy_gap_region_gap,0,nan,nan,cone_normal_only
pill,color_shift,score_energy_region_gap,80,6.97980678346372e-08,0.5592162708226064,cone_normal_only
pill,color_shift,mask_mean,80,2.2823659740885336e-07,0.5404608996588091,cone_contrastive
pill,color_shift,region_gap,80,2.336483034634593e-07,0.540078136981997,cone_contrastive
pill,color_shift,pixel_auc,80,1.6426283494881255e-08,0.5806509807240888,cone_contrastive
pill,color_shift,normal_energy_region_gap,80,6.97980678346372e-08,0.5592162708226064,cone_contrastive
pill,color_shift,energy_gap_region_gap,80,2.336483034634593e-07,0.540078136981997,cone_contrastive
pill,color_shift,score_energy_region_gap,80,2.336483034634593e-07,0.540078136981997,cone_contrastive
pill,cutout,mask_mean,80,2.7985541153948022e-05,0.4501289079311328,cosine
pill,cutout,region_gap,80,5.6633187628957216e-05,0.4344356381818331,cosine
pill,cutout,pixel_auc,80,3.275317322053262e-09,0.6028512159791958,cosine
pill,cutout,normal_energy_region_gap,0,nan,nan,cosine
pill,cutout,energy_gap_region_gap,0,nan,nan,cosine
pill,cutout,score_energy_region_gap,0,nan,nan,cosine
pill,cutout,mask_mean,80,1.385846669296209e-07,0.5484989158718651,cone_normal_only
pill,cutout,region_gap,80,6.63993131904045e-08,0.5599817961762308,cone_normal_only
pill,cutout,pixel_auc,80,3.4299227305941145e-08,0.5699336257733475,cone_normal_only
pill,cutout,normal_energy_region_gap,80,6.97980678346372e-08,0.5592162708226064,cone_normal_only
pill,cutout,energy_gap_region_gap,0,nan,nan,cone_normal_only
pill,cutout,score_energy_region_gap,80,6.97980678346372e-08,0.5592162708226064,cone_normal_only
pill,cutout,mask_mean,80,4.8884796870902265e-09,0.5974925385038251,cone_contrastive
pill,cutout,region_gap,80,2.0535685682570436e-09,0.6089754188081907,cone_contrastive
pill,cutout,pixel_auc,80,1.0313009039337896e-09,0.617778960374871,cone_contrastive
pill,cutout,normal_energy_region_gap,80,6.97980678346372e-08,0.5592162708226064,cone_contrastive
pill,cutout,energy_gap_region_gap,80,2.0535685682570436e-09,0.6089754188081907,cone_contrastive
pill,cutout,score_energy_region_gap,80,2.0535685682570436e-09,0.6089754188081907,cone_contrastive
pill,scratch,mask_mean,80,5.033395201652468e-05,0.4371149769195184,cosine
pill,scratch,region_gap,80,5.569055351111485e-05,0.4348184008586453,cosine
pill,scratch,pixel_auc,80,5.206384658771086e-05,0.4363494515658941,cosine
pill,scratch,normal_energy_region_gap,0,nan,nan,cosine
pill,scratch,energy_gap_region_gap,0,nan,nan,cosine
pill,scratch,score_energy_region_gap,0,nan,nan,cosine
pill,scratch,mask_mean,80,7.584401959344932e-06,0.4773050579847982,cone_normal_only
pill,scratch,region_gap,80,1.1080372085195143e-05,0.46964980444855436,cone_normal_only
pill,scratch,pixel_auc,80,3.4557235354803813e-06,0.49261556505728565,cone_normal_only
pill,scratch,normal_energy_region_gap,80,1.0874672543830896e-05,0.47003256712536656,cone_normal_only
pill,scratch,energy_gap_region_gap,0,nan,nan,cone_normal_only
pill,scratch,score_energy_region_gap,80,1.0874672543830896e-05,0.47003256712536656,cone_normal_only
pill,scratch,mask_mean,80,5.898880875588198e-06,0.4822809727833566,cone_contrastive
pill,scratch,region_gap,80,7.159515642476678e-06,0.4784533460152347,cone_contrastive
pill,scratch,pixel_auc,80,2.4963688129660033e-06,0.49873976788628066,cone_contrastive
pill,scratch,normal_energy_region_gap,80,1.0874672543830896e-05,0.47003256712536656,cone_contrastive
pill,scratch,energy_gap_region_gap,80,7.159515642476678e-06,0.4784533460152347,cone_contrastive
pill,scratch,score_energy_region_gap,80,7.159515642476678e-06,0.4784533460152347,cone_contrastive
screw,noise_patch,mask_mean,80,2.8756589944686304e-15,0.7433251183692686,cosine
screw,noise_patch,region_gap,80,3.689987087734452e-15,0.7414113049852078,cosine
screw,noise_patch,pixel_auc,80,2.0409670896265e-12,0.6866762422010648,cosine
screw,noise_patch,normal_energy_region_gap,0,nan,nan,cosine
screw,noise_patch,energy_gap_region_gap,0,nan,nan,cosine
screw,noise_patch,score_energy_region_gap,0,nan,nan,cosine
screw,noise_patch,mask_mean,80,1.3564281139724889e-11,0.6675381083604555,cone_normal_only
screw,noise_patch,region_gap,80,9.128812917960355e-10,0.6193100110821198,cone_normal_only
screw,noise_patch,pixel_auc,80,6.97980678346372e-08,0.5592162708226064,cone_normal_only
screw,noise_patch,normal_energy_region_gap,80,8.853740614366854e-10,0.6196927737589321,cone_normal_only
screw,noise_patch,energy_gap_region_gap,0,nan,nan,cone_normal_only
screw,noise_patch,score_energy_region_gap,80,8.853740614366854e-10,0.6196927737589321,cone_normal_only
screw,noise_patch,mask_mean,80,5.391660443045438e-13,0.6993074105358671,cone_contrastive
screw,noise_patch,region_gap,80,9.028973722608881e-11,0.6468689238125973,cone_contrastive
screw,noise_patch,pixel_auc,80,1.3980294980842199e-08,0.5829475567849619,cone_contrastive
screw,noise_patch,normal_energy_region_gap,80,8.853740614366854e-10,0.6196927737589321,cone_contrastive
screw,noise_patch,energy_gap_region_gap,80,9.028973722608881e-11,0.6468689238125973,cone_contrastive
screw,noise_patch,score_energy_region_gap,80,9.028973722608881e-11,0.6468689238125973,cone_contrastive
screw,color_shift,mask_mean,80,0.03063063473439062,0.24190601174530266,cosine
screw,color_shift,region_gap,80,0.0518722983943018,0.21817472578294705,cosine
screw,color_shift,pixel_auc,80,0.041827355417520626,0.2281265553800639,cosine
screw,color_shift,normal_energy_region_gap,0,nan,nan,cosine
screw,color_shift,energy_gap_region_gap,0,nan,nan,cosine
screw,color_shift,score_energy_region_gap,0,nan,nan,cosine
screw,color_shift,mask_mean,80,0.004793896370636118,0.31233434427874524,cone_normal_only
screw,color_shift,region_gap,80,0.016267098451157265,0.26793387376853145,cone_normal_only
screw,color_shift,pixel_auc,80,0.02146186925200658,0.256833756140978,cone_normal_only
screw,color_shift,normal_energy_region_gap,80,0.016748715277255934,0.26678558573809485,cone_normal_only
screw,color_shift,energy_gap_region_gap,0,nan,nan,cone_normal_only
screw,color_shift,score_energy_region_gap,80,0.016748715277255934,0.26678558573809485,cone_normal_only
screw,color_shift,mask_mean,80,0.003721713170082992,0.3207551231686133,cone_contrastive
screw,color_shift,region_gap,80,0.015339566153008988,0.27023044982940453,cone_contrastive
screw,color_shift,pixel_auc,80,0.03494398852877277,0.23616457159311988,cone_contrastive
screw,color_shift,normal_energy_region_gap,80,0.016748715277255934,0.26678558573809485,cone_contrastive
screw,color_shift,energy_gap_region_gap,80,0.01579746237488501,0.269082161798968,cone_contrastive
screw,color_shift,score_energy_region_gap,80,0.01579746237488501,0.269082161798968,cone_contrastive
screw,cutout,mask_mean,80,0.005015905708778555,0.31080329357149644,cosine
screw,cutout,region_gap,80,0.01740993018604608,0.2652545350308462,cosine
screw,cutout,pixel_auc,80,0.005801693291606992,0.3058273787729381,cosine
screw,cutout,normal_energy_region_gap,0,nan,nan,cosine
screw,cutout,energy_gap_region_gap,0,nan,nan,cosine
screw,cutout,score_energy_region_gap,0,nan,nan,cosine
screw,cutout,mask_mean,80,0.0013236789399258216,0.35290718802083715,cone_normal_only
screw,cutout,region_gap,80,0.0035515700299772707,0.3222861738758621,cone_normal_only
screw,cutout,pixel_auc,80,0.0045806499530593545,0.313865394985994,cone_normal_only
screw,cutout,normal_energy_region_gap,80,0.0035934422679115897,0.3219034111990499,cone_normal_only
screw,cutout,energy_gap_region_gap,0,nan,nan,cone_normal_only
screw,cutout,score_energy_region_gap,80,0.0035934422679115897,0.3219034111990499,cone_normal_only
screw,cutout,mask_mean,80,0.0003143641773238273,0.3927145064093046,cone_contrastive
screw,cutout,region_gap,80,0.0011618303168394548,0.356734814788959,cone_contrastive
screw,cutout,pixel_auc,80,0.0019148329033368372,0.3418070703932837,cone_contrastive
screw,cutout,normal_energy_region_gap,80,0.0035934422679115897,0.3219034111990499,cone_contrastive
screw,cutout,energy_gap_region_gap,80,0.0011618303168394548,0.356734814788959,cone_contrastive
screw,cutout,score_energy_region_gap,80,0.0011618303168394548,0.356734814788959,cone_contrastive
screw,scratch,mask_mean,80,5.033395201652468e-05,0.4371149769195184,cosine
screw,scratch,region_gap,80,5.6633187628957216e-05,0.4344356381818331,cosine
screw,scratch,pixel_auc,80,0.00019154719390124486,0.4053456747441069,cosine
screw,scratch,normal_energy_region_gap,0,nan,nan,cosine
screw,scratch,energy_gap_region_gap,0,nan,nan,cosine
screw,scratch,score_energy_region_gap,0,nan,nan,cosine
screw,scratch,mask_mean,80,0.007302053929480017,0.2977893625598821,cone_normal_only
screw,scratch,region_gap,80,0.010899329827107802,0.283244380841019,cone_normal_only
screw,scratch,pixel_auc,80,0.01147224429876584,0.281330567456958,cone_normal_only
screw,scratch,normal_energy_region_gap,80,0.010899329827107802,0.283244380841019,cone_normal_only
screw,scratch,energy_gap_region_gap,0,nan,nan,cone_normal_only
screw,scratch,score_energy_region_gap,80,0.010899329827107802,0.283244380841019,cone_normal_only
screw,scratch,mask_mean,80,0.0003800720419887608,0.38773859161074614,cone_contrastive
screw,scratch,region_gap,80,0.001031731584770654,0.3601796788802687,cone_contrastive
screw,scratch,pixel_auc,80,0.0006691199236324812,0.37242808453825865,cone_contrastive
screw,scratch,normal_energy_region_gap,80,0.010899329827107802,0.283244380841019,cone_contrastive
screw,scratch,energy_gap_region_gap,80,0.001031731584770654,0.3601796788802687,cone_contrastive
screw,scratch,score_energy_region_gap,80,0.001031731584770654,0.3601796788802687,cone_contrastive
toothbrush,noise_patch,mask_mean,80,2.7350495348257018e-15,0.7437078810460808,cosine
toothbrush,noise_patch,region_gap,80,3.3405972010689294e-15,0.7421768303388321,cosine
toothbrush,noise_patch,pixel_auc,80,3.8474168467338634e-17,0.7739461325142437,cosine
toothbrush,noise_patch,normal_energy_region_gap,0,nan,nan,cosine
toothbrush,noise_patch,energy_gap_region_gap,0,nan,nan,cosine
toothbrush,noise_patch,score_energy_region_gap,0,nan,nan,cosine
toothbrush,noise_patch,mask_mean,80,3.984205316303069e-19,0.8018878079215335,cone_normal_only
toothbrush,noise_patch,region_gap,80,3.0375628266564175e-19,0.8034188586287822,cone_normal_only
toothbrush,noise_patch,pixel_auc,80,8.907808590971518e-21,0.8221742297925793,cone_normal_only
toothbrush,noise_patch,normal_energy_region_gap,80,2.837328101652898e-19,0.8038016213055944,cone_normal_only
toothbrush,noise_patch,energy_gap_region_gap,0,nan,nan,cone_normal_only
toothbrush,noise_patch,score_energy_region_gap,80,2.837328101652898e-19,0.8038016213055944,cone_normal_only
toothbrush,noise_patch,mask_mean,80,9.081966920813745e-17,0.7682046923620609,cone_contrastive
toothbrush,noise_patch,region_gap,80,1.6866902406494675e-17,0.7793048099896143,cone_contrastive
toothbrush,noise_patch,pixel_auc,80,9.468111341799526e-19,0.7969118931229748,cone_contrastive
toothbrush,noise_patch,normal_energy_region_gap,80,2.837328101652898e-19,0.8038016213055944,cone_contrastive
toothbrush,noise_patch,energy_gap_region_gap,80,1.6866902406494675e-17,0.7793048099896143,cone_contrastive
toothbrush,noise_patch,score_energy_region_gap,80,1.6866902406494675e-17,0.7793048099896143,cone_contrastive
toothbrush,color_shift,mask_mean,80,2.2991760042157504e-06,0.5002708185935295,cosine
toothbrush,color_shift,region_gap,80,3.8204696445063865e-06,0.4907017516732248,cosine
toothbrush,color_shift,pixel_auc,80,1.0765155057689073e-06,0.5140502749587682,cosine
toothbrush,color_shift,normal_energy_region_gap,0,nan,nan,cosine
toothbrush,color_shift,energy_gap_region_gap,0,nan,nan,cosine
toothbrush,color_shift,score_energy_region_gap,0,nan,nan,cosine
toothbrush,color_shift,mask_mean,80,4.212723755375687e-08,0.56687152435885,cone_normal_only
toothbrush,color_shift,region_gap,80,9.392551929148943e-08,0.5546231187008601,cone_normal_only
toothbrush,color_shift,pixel_auc,80,4.212723755375687e-08,0.56687152435885,cone_normal_only
toothbrush,color_shift,normal_energy_region_gap,80,9.6258969940656e-08,0.5542403560240479,cone_normal_only
toothbrush,color_shift,energy_gap_region_gap,0,nan,nan,cone_normal_only
toothbrush,color_shift,score_energy_region_gap,80,9.6258969940656e-08,0.5542403560240479,cone_normal_only
toothbrush,color_shift,mask_mean,80,1.2282493885670554e-07,0.550412729255926,cone_contrastive
toothbrush,color_shift,region_gap,80,2.6875881931917047e-07,0.5377815609211238,cone_contrastive
toothbrush,color_shift,pixel_auc,80,1.4894150641720888e-07,0.5473506278414285,cone_contrastive
toothbrush,color_shift,normal_energy_region_gap,80,9.6258969940656e-08,0.5542403560240479,cone_contrastive
toothbrush,color_shift,energy_gap_region_gap,80,2.6875881931917047e-07,0.5377815609211238,cone_contrastive
toothbrush,color_shift,score_energy_region_gap,80,2.6875881931917047e-07,0.5377815609211238,cone_contrastive
toothbrush,cutout,mask_mean,80,0.0031561800963896096,0.326113800643984,cosine
toothbrush,cutout,region_gap,80,0.005072812777007152,0.31042053089468424,cosine
toothbrush,cutout,pixel_auc,80,0.0007570822981017493,0.368983220446949,cosine
toothbrush,cutout,normal_energy_region_gap,0,nan,nan,cosine
toothbrush,cutout,energy_gap_region_gap,0,nan,nan,cosine
toothbrush,cutout,score_energy_region_gap,0,nan,nan,cosine
toothbrush,cutout,mask_mean,80,0.0002478468032469752,0.39883870923829967,cone_normal_only
toothbrush,cutout,region_gap,80,0.0002711039408104166,0.39654213317742654,cone_normal_only
toothbrush,cutout,pixel_auc,80,1.4908938112868243e-05,0.4635256016195594,cone_normal_only
toothbrush,cutout,normal_energy_region_gap,80,0.00028770534532839454,0.39501108247017774,cone_normal_only
toothbrush,cutout,energy_gap_region_gap,0,nan,nan,cone_normal_only
toothbrush,cutout,score_energy_region_gap,80,0.00028770534532839454,0.39501108247017774,cone_normal_only
toothbrush,cutout,mask_mean,80,6.916199233249281e-05,0.42984248606008685,cone_contrastive
toothbrush,cutout,region_gap,80,0.0001199838589442488,0.41682855504847255,cone_contrastive
toothbrush,cutout,pixel_auc,80,8.032837359434867e-06,0.47615676995436157,cone_contrastive
toothbrush,cutout,normal_energy_region_gap,80,0.00028770534532839454,0.39501108247017774,cone_contrastive
toothbrush,cutout,energy_gap_region_gap,80,0.0001199838589442488,0.41682855504847255,cone_contrastive
toothbrush,cutout,score_energy_region_gap,80,0.0001199838589442488,0.41682855504847255,cone_contrastive
toothbrush,scratch,mask_mean,80,9.177656758539273e-06,0.4734774312166763,cosine
toothbrush,scratch,region_gap,80,9.353158895087082e-06,0.47309466853986404,cosine
toothbrush,scratch,pixel_auc,80,6.05538567507253e-05,0.4329045874745843,cosine
toothbrush,scratch,normal_energy_region_gap,0,nan,nan,cosine
toothbrush,scratch,energy_gap_region_gap,0,nan,nan,cosine
toothbrush,scratch,score_energy_region_gap,0,nan,nan,cosine
toothbrush,scratch,mask_mean,80,6.375828588986444e-06,0.4807499220761078,cone_normal_only
toothbrush,scratch,region_gap,80,6.014875082612841e-06,0.4818982101065444,cone_normal_only
toothbrush,scratch,pixel_auc,80,2.2217127540610103e-05,0.45510482272969127,cone_normal_only
toothbrush,scratch,normal_energy_region_gap,80,5.673160936250573e-06,0.483046498136981,cone_normal_only
toothbrush,scratch,energy_gap_region_gap,0,nan,nan,cone_normal_only
toothbrush,scratch,score_energy_region_gap,80,5.673160936250573e-06,0.483046498136981,cone_normal_only
toothbrush,scratch,mask_mean,80,3.976256555914778e-06,0.4899362263196004,cone_contrastive
toothbrush,scratch,region_gap,80,6.500593924813745e-06,0.48036715939929564,cone_contrastive
toothbrush,scratch,pixel_auc,80,2.6542283305016095e-05,0.45127719596156934,cone_contrastive
toothbrush,scratch,normal_energy_region_gap,80,5.673160936250573e-06,0.483046498136981,cone_contrastive
toothbrush,scratch,energy_gap_region_gap,80,6.500593924813745e-06,0.48036715939929564,cone_contrastive
toothbrush,scratch,score_energy_region_gap,80,6.500593924813745e-06,0.48036715939929564,cone_contrastive
transistor,noise_patch,mask_mean,80,1.150416045353412e-15,0.7502148465518881,cosine
transistor,noise_patch,region_gap,80,8.420675329729885e-16,0.7525114226127612,cosine
transistor,noise_patch,pixel_auc,80,7.112390761598042e-24,0.8543262946448031,cosine
transistor,noise_patch,normal_energy_region_gap,0,nan,nan,cosine
transistor,noise_patch,energy_gap_region_gap,0,nan,nan,cosine
transistor,noise_patch,score_energy_region_gap,0,nan,nan,cosine
transistor,noise_patch,mask_mean,80,1.3549005195081893e-21,0.8313605340360719,cone_normal_only
transistor,noise_patch,region_gap,80,1.0086325791199048e-24,0.8619815481810468,cone_normal_only
transistor,noise_patch,pixel_auc,80,4.951597071155806e-25,0.8646608869187321,cone_normal_only
transistor,noise_patch,normal_energy_region_gap,80,1.3620027592991708e-24,0.8608332601506103,cone_normal_only
transistor,noise_patch,energy_gap_region_gap,0,nan,nan,cone_normal_only
transistor,noise_patch,score_energy_region_gap,80,1.3620027592991708e-24,0.8608332601506103,cone_normal_only
transistor,noise_patch,mask_mean,80,8.300633383938604e-19,0.7976774184765993,cone_contrastive
transistor,noise_patch,region_gap,80,1.1522292796775217e-21,0.8321260593896962,cone_contrastive
transistor,noise_patch,pixel_auc,80,1.3725860242513758e-23,0.8516469559071177,cone_contrastive
transistor,noise_patch,normal_energy_region_gap,80,1.3620027592991708e-24,0.8608332601506103,cone_contrastive
transistor,noise_patch,energy_gap_region_gap,80,1.1522292796775217e-21,0.8321260593896962,cone_contrastive
transistor,noise_patch,score_energy_region_gap,80,1.1522292796775217e-21,0.8321260593896962,cone_contrastive
transistor,color_shift,mask_mean,80,0.00011439370382675138,0.417976843078909,cosine
transistor,color_shift,region_gap,80,0.00015191986573378244,0.41108711489628963,cosine
transistor,color_shift,pixel_auc,80,1.150274277335574e-05,0.46888427909492997,cosine
transistor,color_shift,normal_energy_region_gap,0,nan,nan,cosine
transistor,color_shift,energy_gap_region_gap,0,nan,nan,cosine
transistor,color_shift,score_energy_region_gap,0,nan,nan,cosine
transistor,color_shift,mask_mean,80,1.4370437856086916e-05,0.46429112697318375,cone_normal_only
transistor,color_shift,region_gap,80,1.0874672543830896e-05,0.47003256712536656,cone_normal_only
transistor,color_shift,pixel_auc,80,9.455365819282994e-07,0.5163468510196413,cone_normal_only
transistor,color_shift,normal_energy_region_gap,80,1.0672551675702446e-05,0.47041532980217876,cone_normal_only
transistor,color_shift,energy_gap_region_gap,0,nan,nan,cone_normal_only
transistor,color_shift,score_energy_region_gap,80,1.0672551675702446e-05,0.47041532980217876,cone_normal_only
transistor,color_shift,mask_mean,80,2.182287180858424e-05,0.4554875854065034,cone_contrastive
transistor,color_shift,region_gap,80,1.9591148388150796e-05,0.45778416146737655,cone_contrastive
transistor,color_shift,pixel_auc,80,1.3054633273130313e-06,0.5106054108674585,cone_contrastive
transistor,color_shift,normal_energy_region_gap,80,1.0672551675702446e-05,0.47041532980217876,cone_contrastive
transistor,color_shift,energy_gap_region_gap,80,1.9591148388150796e-05,0.45778416146737655,cone_contrastive
transistor,color_shift,score_energy_region_gap,80,1.9591148388150796e-05,0.45778416146737655,cone_contrastive
transistor,cutout,mask_mean,80,2.5618993984133697e-05,0.45204272131519374,cosine
transistor,cutout,region_gap,80,2.2618021551407546e-05,0.45472206005287913,cosine
